,date,nav
2448,01-07-2016,35.39090
2449,30-06-2016,35.25510
2450,29-06-2016,35.10040
2451,28-06-2016,34.57030
2452,27-06-2016,34.23310
2453,24-06-2016,33.90070
2454,23-06-2016,34.20010
2455,22-06-2016,34.25840
2456,21-06-2016,34.23680
2457,20-06-2016,34.28230
2458,17-06-2016,34.40500
2459,16-06-2016,34.26000
2460,15-06-2016,34.38490
2461,14-06-2016,34.08450
2462,13-06-2016,34.12570
2463,10-06-2016,34.34500
2464,09-06-2016,34.24080
2465,08-06-2016,34.53340
2466,07-06-2016,34.45470
2467,06-06-2016,34.05590
2468,03-06-2016,33.86520
2469,02-06-2016,33.95350
2470,01-06-2016,33.79300
2471,31-05-2016,33.76830
2472,30-05-2016,33.84230
2473,27-05-2016,33.72370
2474,26-05-2016,33.55440
2475,25-05-2016,33.60570
2476,24-05-2016,33.41600
2477,23-05-2016,33.65830
2478,20-05-2016,33.61610
2479,19-05-2016,33.83550
2480,18-05-2016,34.31940
2481,17-05-2016,34.26820
2482,16-05-2016,34.21400
2483,13-05-2016,34.28190
2484,12-05-2016,34.33400
2485,11-05-2016,33.95020
2486,10-05-2016,33.86020
2487,09-05-2016,34.05720
2488,06-05-2016,33.87690
2489,05-05-2016,33.99390
2490,04-05-2016,33.72260
2491,03-05-2016,34.03060
2492,02-05-2016,34.04950
2493,29-04-2016,34.13480
2494,28-04-2016,34.10160
2495,27-04-2016,34.34370
2496,26-04-2016,34.14530
2497,25-04-2016,33.96290
2498,22-04-2016,34.00100
2499,21-04-2016,34.16770
2500,20-04-2016,34.27250
2501,18-04-2016,34.19220
2502,13-04-2016,33.76930
2503,12-04-2016,33.51200
2504,11-04-2016,33.38750
2505,08-04-2016,33.06500
2506,07-04-2016,33.01940
2507,06-04-2016,33.23170
2508,05-04-2016,32.92950
2509,04-04-2016,33.11200
2510,01-04-2016,32.60990
2511,31-03-2016,32.36140
2512,30-03-2016,32.31320
2513,29-03-2016,31.94450
2514,28-03-2016,31.87590
2515,23-03-2016,32.21920
2516,22-03-2016,31.86820
2517,21-03-2016,31.98990
2518,18-03-2016,31.55040
2519,17-03-2016,31.33090
2520,16-03-2016,31.24450
2521,15-03-2016,31.17580
2522,14-03-2016,31.33640
2523,11-03-2016,31.08850
2524,10-03-2016,31.07790
2525,09-03-2016,31.09970
2526,08-03-2016,31.05750
2527,04-03-2016,31.11400
2528,03-03-2016,31.10970
2529,02-03-2016,30.96070
2530,01-03-2016,30.52870
2531,29-02-2016,29.76350
2532,26-02-2016,29.94060
2533,25-02-2016,30.24000
2534,24-02-2016,30.26500
2535,23-02-2016,30.68360
2536,22-02-2016,31.01600
2537,19-02-2016,31.10020
2538,18-02-2016,31.07550
2539,17-02-2016,30.70270
2540,16-02-2016,30.42160
2541,15-02-2016,31.05170
